op_type,district,street,rooms,area,floor,total_floors,house_seria,house_type,condition,price,lat,lon
For rent,Purvciems,Dzelzavas 93,1,27,3,5,LT proj.,Brick-Panel,All amenities,250,56.9554841,24.20213934
For rent,Ziepniekkalns,Ozolciema 32,2,50,7,9,602,Panel,All amenities,300,56.89979805,24.09835015
For sale,centrs,Ieroču 6,2,33,1,2,P. kara,Wood,Partial amenities,13500,56.9750922,24.1398842
For sale,Ķengarags,Maskavas 305,2,50,5,5,LT proj.,Panel,All amenities,34000,56.8597884,24.3083417
For rent,Teika,Zemgala gatve 80,3,76,3,12,Jaun.,Masonry,All amenities,490,56.9777452,24.16604241
For rent,centrs,Ģertrūdes 16,2,40,3,6,P. kara,Masonry,All amenities,440,56.9566594,24.1237638
For sale,Ķengarags,Lokomotīves 20,2,37,5,5,Specpr.,Brick,All amenities,31000,56.91527335,24.18936465
For rent,Imanta,Kurzemes pr. 46,2,49,3,5,LT proj.,Panel,All amenities,240,NaN,NaN
For rent,centrs,Avotu 7,2,48,5,5,P. kara,Brick,All amenities,400,56.9509444,24.12835777
For rent,Jugla,Juglas 53,2,45,2,5,Hrušč.,Panel,All amenities,360,56.9761694,24.2544503
For sale,Mangaļi,Mores 3,2,46,4,5,Hrušč.,Panel,All amenities,39999,57.0188111,24.13501185
For sale,Jugla,Baltezera 1,3,58,4,5,Specpr.,Brick,All amenities,50000,56.9927003,24.2400597
For sale,Mežciems,Gaiļezera 4,2,50,1,9,602,Panel,All amenities,53000,56.967948,24.23515863
For sale,Maskavas priekšpilsēta,Maskavas 291 k1,3,60,2,5,LT proj.,Panel,All amenities,48000,56.9228069,24.1703845
For sale,Zolitūde,Zolitūdes 46/2,1,46,9,9,119,Panel,All amenities,38500,56.9461963,24.0014164
For sale,Mežciems,Celmu 5,2,36,1,5,LT proj.,Panel,All amenities,46000,56.9736358,24.23353092
For sale,centrs,Krāsotāju 25,2,36,5,5,P. kara,Masonry,All amenities,54900,56.9562996,24.1467585
For rent,Ziepniekkalns,Ozolciema 54,1,44,4,9,M. ģim.,Panel,All amenities,240,56.9014001,24.09988556
For sale,Ķengarags,Maskavas 268/5,3,60,3,5,Hrušč.,Panel,All amenities,56500,56.8945857,24.2163422
For sale,Mežciems,Eizenšteina 57,3,62,6,9,602,Panel,All amenities,52500,56.96342305,24.23512973
For rent,Bolderāja,Stagaru 4,2,50,2,5,Specpr.,Panel,All amenities,260,57.02965155,24.03597519
For sale,Purvciems,Dzelzavas 13,2,44,4,5,Hrušč.,Brick,Without amenities,39000,56.9636785,24.17061674
For rent,centrs,Čaka 33,2,40,4,6,P. kara,Masonry,All amenities,395,56.9521436,24.1276865
For rent,centrs,Bruņinieku 115,2,45,2,4,Renov.,Masonry,All amenities,350,56.949971,24.14414234
For rent,Grīziņkalns,Alauksta 4a,1,26,2,3,Renov.,Wood,All amenities,345,56.9610304,24.1476406
For rent,Ziepniekkalns,Kartupeļu 47,2,56,8,9,Specpr.,Brick,All amenities,250,56.91095995,24.11000046
For rent,Bolderāja,Gobas 16,1,34,3,5,103,Brick-Panel,All amenities,210,57.03135185,24.05086468
For sale,Dreiliņi,Valtera 5,4,78,1,9,602,Panel,All amenities,91000,56.94692715,24.23651136
For sale,Ķengarags,Prūšu 22,2,42,3,5,Hrušč.,Brick,All amenities,45900,56.9134761,24.18677075
For sale,Pļavnieki,Dzeņu 12,1,35,1,9,602,Brick-Panel,All amenities,37000,56.9397226,24.21262437
For rent,Dzegužkalns,Purva 25,1,29,4,5,LT proj.,Panel,All amenities,240,56.95770335,24.0505207
For rent,Imanta,Slokas 130a,2,60,3,8,Jaun.,Masonry,All amenities,580,56.96485355,24.01574949
