Invoice ID,Branch,Region,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Month,Payment,cogs,gross margin percentage,gross income,Rating
750-67-8428,A,North,Delhi,Member,Male,Health and beauty,74.69,7,26.14,548.97,01-05-2019,1.08.00 PM,May,Ewallet,522.83,4.76,24.89,9.1
226-31-3081,C,South,Banglore,Normal,Male,Electronic accessories,15.28,5,3.82,80.22,03-08-2019,10.29.00 AM,August,Cash,76.4,4.76,3.64,9.6
631-41-3108,A,North,Delhi,Normal,Female,Home and lifestyle,46.33,7,16.22,340.53,03-03-2019,1.23.00 PM,March,Credit card,324.31,4.76,15.44,7.4
123-19-1176,A,North,Delhi,Member,Female,Health and beauty,58.22,8,23.29,489.05,27-01-2019,8.33.00 PM,January,Ewallet,465.76,4.76,22.17,8.4
373-73-7910,A,North,Delhi,Normal,Female,Sports and travel,86.31,7,30.21,634.38,25-02-2019,10.37.00 AM,February,Ewallet,604.17,4.76,28.76,5.3
699-14-3026,C,South,Banglore,Normal,Female,Electronic accessories,85.39,7,29.89,627.62,24-02-2019,6.30.00 PM,February,Ewallet,597.73,4.76,28.45,4.1
355-53-5943,A,North,Delhi,Member,Male,Electronic accessories,68.84,6,20.65,433.69,20-02-2019,2.36.00 PM,February,Ewallet,413.04,4.76,19.66,5.8
315-22-5665,C,South,Banglore,Normal,Male,Home and lifestyle,73.56,10,36.78,772.38,15-01-2019,11.38.00 AM,January,Ewallet,735.6,4.76,35.01,8
665-32-9167,A,North,Delhi,Member,Male,Health and beauty,36.26,2,3.63,76.15,22-03-2019,5.15.00 PM,March,Credit card,72.52,4.76,3.45,7.2
692-92-5582,B,West,Mumbai,Member,Male,Food and beverages,54.84,3,8.23,172.75,25-01-2019,1.27.00 PM,January,Credit card,164.52,4.76,7.83,5.9
351-62-0822,B,West,Mumbai,Member,Male,Fashion accessories,14.48,4,2.9,60.82,28-01-2019,6.07.00 PM,January,Ewallet,57.92,4.76,2.76,4.5
529-56-3974,B,West,Mumbai,Member,Female,Electronic accessories,25.51,4,5.1,107.14,15-01-2019,5.03.00 PM,January,Cash,102.04,4.76,4.86,6.8
365-64-0515,A,North,Delhi,Normal,Male,Electronic accessories,46.95,5,11.74,246.49,17-01-2019,10.25.00 AM,January,Ewallet,234.75,4.76,11.17,7.1
252-56-2699,A,North,Delhi,Normal,Female,Food and beverages,43.19,10,21.6,453.5,16-03-2019,4.48.00 PM,March,Ewallet,431.9,4.76,20.56,8.2
829-34-3910,A,North,Delhi,Normal,Male,Health and beauty,71.38,10,35.69,749.49,19-03-2019,7.21.00 PM,March,Cash,713.8,4.76,33.98,5.7
